FIPS,State,Median_Household_Income_2018,transit_scores - population weighted averages aggregated from town/city level to county,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20
24000,MD,83076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24001,MD,43535.0,243423178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,6.0,7.0,6.0,8.0,10.0,11.0,13.0,15.0,17.0,17.0,20.0,26.0,33.0,33.0
24003,MD,97051.0,2615263019.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,4.0,5.0,9.0,15.0,18.0,20.0,24.0,31.0,41.0,63.0,88.0,99.0,127.0,158.0,206.0,249.0,289.0,319.0,343.0,370.0,466.0,505.0,554.0,615.0,659.0,724.0,783.0,845.0,896.0,966.0,1005.0,1047.0
24005,MD,75836.0,6535931504.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,6.0,10.0,12.0,13.0,19.0,28.0,35.0,42.0,51.0,81.0,103.0,141.0,162.0,227.0,289.0,353.0,427.0,491.0,590.0,648.0,652.0,866.0,979.0,1072.0,1173.0,1257.0,1361.0,1377.0,1485.0,1516.0,1569.0,1664.0,1733.0
24009,MD,106270.0,1351387938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,7.0,9.0,8.0,10.0,15.0,18.0,22.0,30.0,33.0,39.0,40.0,41.0,56.0,66.0,76.0,82.0,90.0,94.0,99.0,102.0,103.0,109.0,109.0,113.0
24011,MD,56627.0,1204813949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,11.0,11.0,12.0,12.0,15.0,17.0,21.0,21.0,22.0,23.0,28.0,33.0,33.0
24013,MD,95956.0,722285326.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,4.0,5.0,5.0,5.0,7.0,9.0,10.0,82.0,92.0,96.0,105.0,129.0,134.0,142.0,150.0,159.0,186.0,203.0,214.0,214.0,236.0,250.0,259.0,262.0,283.0,288.0,308.0,313.0
24015,MD,72739.0,2308781503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,9.0,13.0,13.0,14.0,16.0,20.0,25.0,33.0,36.0,37.0,41.0,49.0,54.0,64.0,66.0,74.0,83.0,85.0,90.0,101.0,127.0,131.0,131.0
24017,MD,92616.0,2845130244.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,8.0,10.0,17.0,21.0,28.0,40.0,56.0,69.0,90.0,95.0,111.0,129.0,136.0,164.0,180.0,220.0,235.0,253.0,274.0,292.0,310.0,327.0,337.0,347.0,370.0
24019,MD,48682.0,2680840934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,7.0,7.0,8.0,9.0,12.0,14.0,16.0,18.0,20.0,20.0,21.0
