FIPS,State,Median_Household_Income_2018,transit_scores - population weighted averages aggregated from town/city level to county,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20
33000,NH,75322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33001,NH,64777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,8.0,9.0,9.0,9.0,12.0,12.0,13.0,13.0,14.0,17.0,18.0,18.0,21.0,21.0,21.0,21.0,21.0,22.0,24.0,24.0,24.0
33003,NH,59413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,10.0,12.0,12.0,14.0,14.0,17.0,17.0,19.0,19.0,19.0,23.0,23.0,28.0,28.0,28.0,29.0,29.0,29.0
33005,NH,60251.0,1766236996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,8.0,8.0,9.0,10.0,13.0,13.0,13.0,14.0,14.0,17.0,18.0,19.0,21.0,26.0,26.0
33007,NH,44259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
33009,NH,65163.0,277136669.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,7.0,7.0,7.0,10.0,13.0,15.0,15.0,20.0,21.0,22.0,26.0,28.0,29.0,34.0,34.0,38.0,38.0,38.0,41.0,41.0,41.0,41.0,43.0,43.0,43.0,43.0,45.0,45.0,44.0,44.0
33011,NH,78714.0,3130510013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,8.0,11.0,11.0,15.0,16.0,19.0,20.0,30.0,43.0,53.0,69.0,99.0,109.0,163.0,163.0,194.0,231.0,272.0,272.0,288.0,303.0,303.0,344.0,367.0,385.0,271.0,458.0,458.0
33013,NH,74351.0,1315953344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,11.0,14.0,18.0,27.0,27.0,33.0,33.0,36.0,39.0,52.0,52.0,56.0,60.0,60.0,66.0,71.0,73.0,75.0,81.0,81.0
33015,NH,93645.0,3465542299.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,10.0,14.0,17.0,17.0,19.0,25.0,28.0,28.0,38.0,42.0,56.0,75.0,86.0,100.0,137.0,137.0,170.0,170.0,190.0,213.0,246.0,246.0,255.0,268.0,268.0,305.0,314.0,345.0,378.0,399.0,399.0
33017,NH,69919.0,2864000925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,5.0,7.0,11.0,12.0,17.0,28.0,28.0,35.0,35.0,36.0,43.0,46.0,46.0,46.0,48.0,48.0,53.0,58.0,59.0,69.0,69.0,69.0
33019,NH,60034.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0
