FIPS,State,Median_Household_Income_2018,transit_scores - population weighted averages aggregated from town/city level to county,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20
34000,NJ,81777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34001,NJ,60826.0,4742194904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,5.0,6.0,6.0,12.0,10.0,14.0,17.0,24.0,29.0,31.0,40.0,50.0,72.0,98.0,121.0,132.0,144.0,168.0,191.0,211.0
34003,NJ,100181.0,6443828987.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,7.0,11.0,13.0,15.0,25.0,25.0,61.0,84.0,114.0,195.0,249.0,457.0,609.0,701.0,819.0,1206.0,1505.0,1838.0,2169.0,2482.0,2909.0,3494.0,4099.0,4866.0,5760.0,6187.0,6862.0,7533.0,7874.0,8343.0,8928.0
34005,NJ,84470.0,3622034547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,10.0,14.0,17.0,26.0,36.0,42.0,48.0,64.0,88.0,115.0,142.0,178.0,202.0,255.0,294.0,367.0,469.0,547.0,646.0,733.0,801.0,883.0,954.0
34007,NJ,67135.0,5870324676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,8.0,13.0,11.0,22.0,33.0,51.0,61.0,73.0,95.0,123.0,163.0,200.0,228.0,289.0,343.0,406.0,481.0,556.0,645.0,736.0,838.0,990.0,1072.0
34009,NJ,62175.0,2439597855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,6.0,7.0,7.0,9.0,9.0,12.0,22.0,34.0,44.0,50.0,77.0,85.0,94.0,100.0,109.0,116.0
34011,NJ,51790.0,2703603171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,4.0,9.0,11.0,11.0,12.0,18.0,27.0,31.0,36.0,40.0,54.0,64.0,71.0,80.0,111.0,138.0
34013,NJ,62875.0,8162415215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,7.0,20.0,32.0,45.0,63.0,73.0,172.0,273.0,342.0,381.0,609.0,826.0,1086.0,1227.0,1564.0,1900.0,2262.0,2617.0,3067.0,3584.0,4082.0,4493.0,5078.0,5598.0,6069.0,6580.0
34015,NJ,81315.0,3404949398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,5.0,8.0,13.0,19.0,23.0,33.0,40.0,51.0,72.0,89.0,114.0,149.0,169.0,183.0,215.0,248.0,279.0,311.0,340.0,413.0,447.0
34017,NJ,73337.0,906110838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,19.0,24.0,34.0,55.0,66.0,126.0,190.0,234.0,260.0,441.0,594.0,771.0,974.0,1314.0,1606.0,1910.0,2270.0,2835.0,3491.0,3924.0,4395.0,4949.0,5437.0,5879.0,6411.0
