FIPS,State,Median_Household_Income_2018,transit_scores - population weighted averages aggregated from town/city level to county,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20
72000,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72001,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72003,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72005,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72007,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72009,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72011,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72013,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72015,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72017,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72019,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72021,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72023,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72025,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72027,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72029,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72031,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72033,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72035,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72037,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72039,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72041,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72043,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72045,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72047,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72049,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72051,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72053,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72054,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72055,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72057,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72059,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72061,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72063,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72065,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72067,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72069,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72071,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72073,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72075,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72077,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72079,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72081,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72083,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72085,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72087,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72089,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72091,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72093,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72095,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72097,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72099,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72101,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72103,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72105,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72107,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72109,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72111,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72113,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72115,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72117,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72119,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72121,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72123,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72125,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72127,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72129,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72131,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72133,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72135,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72137,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72139,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72141,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72143,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72145,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72147,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72149,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72151,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72153,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
