FIPS,State,Median_Household_Income_2018,transit_scores - population weighted averages aggregated from town/city level to county,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20
53000,WA,74023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53001,WA,52012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,5.0,5.0,7.0,13.0,14.0,20.0,20.0,20.0,23.0,26.0,27.0,29.0,30.0,30.0,30.0,36.0
53003,WA,49776.0,279591623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0
53005,WA,69212.0,4445458208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,7.0,9.0,12.0,19.0,42.0,42.0,56.0,102.0,89.0,108.0,130.0,136.0,151.0,164.0,175.0,176.0,179.0,215.0,233.0,244.0,249.0
53007,WA,57243.0,5525784048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,6.0,10.0,10.0,12.0,13.0,13.0,14.0,16.0,17.0,18.0,20.0,24.0,29.0,29.0,34.0,34.0,43.0,45.0,53.0,55.0
53009,WA,57183.0,3535901968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,11.0,12.0
53011,WA,73971.0,4049099978.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,9.0,10.0,13.0,16.0,48.0,76.0,82.0,90.0,90.0,116.0,130.0,131.0,137.0,137.0,137.0,168.0,185.0,190.0,206.0,206.0,220.0,220.0
53013,WA,53700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53015,WA,58624.0,2983604116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,7.0,7.0,10.0,10.0,14.0,14.0,14.0,18.0,18.0,18.0,18.0,18.0,21.0,21.0,23.0,23.0,23.0,23.0
53017,WA,65912.0,3964294937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,9.0,10.0,10.0,10.0,10.0,12.0,13.0,16.0,16.0
53019,WA,40468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53021,WA,60483.0,4804670976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,5.0,7.0,7.0,12.0,12.0,16.0,37.0,33.0,33.0,41.0,45.0,46.0,56.0,64.0,70.0,75.0,86.0,97.0,107.0,112.0
53023,WA,50185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53025,WA,53688.0,1983363547.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,7.0,8.0,8.0,8.0,11.0,18.0,23.0,27.0,33.0,39.0,44.0,50.0,59.0,63.0,63.0,73.0,75.0,77.0,80.0,88.0,88.0,94.0,95.0,101.0,110.0,114.0
53027,WA,48763.0,118229118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,11.0
53029,WA,65987.0,269116062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,6.0,7.0,14.0,16.0,17.0,19.0,19.0,21.0,25.0,38.0,64.0,64.0,80.0,93.0,105.0,106.0,109.0,114.0,119.0,122.0,130.0,141.0,142.0,145.0,155.0,155.0,157.0,158.0
53031,WA,55893.0,3350331602.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,8.0,9.0,11.0,11.0,11.0,13.0,14.0,16.0,17.0,19.0,19.0,19.0,20.0,22.0,27.0,27.0,27.0,28.0,28.0,28.0
53033,WA,94822.0,6089137474.0,21.0,31.0,51.0,58.0,71.0,83.0,83.0,116.0,190.0,270.0,328.0,387.0,387.0,488.0,569.0,562.0,693.0,793.0,934.0,1040.0,1170.0,1359.0,1577.0,1577.0,2077.0,2159.0,2161.0,2330.0,2330.0,2656.0,2787.0,2898.0,3167.0,3331.0,3486.0,3688.0,3886.0,4117.0,4262.0,4426.0
53035,WA,76530.0,3230331744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,7.0,7.0,9.0,12.0,12.0,15.0,18.0,18.0,20.0,33.0,33.0,42.0,50.0,56.0,74.0,74.0,83.0,95.0,99.0,104.0,104.0,119.0,119.0,120.0,126.0,128.0,132.0
53037,WA,55624.0,621948845.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,18.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,12.0,13.0,13.0,15.0,15.0,15.0,13.0
53039,WA,56503.0,358744686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,14.0
53041,WA,57019.0,718329756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,7.0,7.0,10.0,10.0,10.0,10.0,12.0,13.0,13.0,16.0,16.0,16.0,17.0,18.0,18.0,17.0
53043,WA,53326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
53045,WA,58239.0,2351007097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,11.0,13.0,13.0,14.0,15.0,16.0,17.0,17.0,18.0,18.0,19.0
53047,WA,48345.0,590059877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,7.0,9.0,9.0,10.0,12.0,12.0,14.0,15.0
53049,WA,46365.0,1688408557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
53051,WA,49750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53053,WA,75022.0,3291786801.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,14.0,17.0,19.0,26.0,26.0,38.0,45.0,56.0,75.0,83.0,95.0,107.0,138.0,155.0,186.0,231.0,231.0,317.0,317.0,377.0,377.0,498.0,571.0,620.0,688.0,717.0,760.0,795.0,838.0,875.0,922.0,931.0
53055,WA,62249.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,7.0,9.0,10.0,12.0,12.0,12.0,13.0,13.0
53057,WA,70955.0,4125011127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,7.0,9.0,14.0,18.0,25.0,28.0,33.0,45.0,48.0,78.0,78.0,91.0,99.0,101.0,121.0,128.0,143.0,153.0,161.0,161.0,161.0,166.0,169.0,172.0,178.0,185.0,187.0
53059,WA,64344.0,657698485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
53061,WA,87096.0,4413651623.0,6.0,8.0,18.0,19.0,27.0,31.0,31.0,37.0,68.0,108.0,133.0,154.0,154.0,200.0,266.0,310.0,348.0,385.0,447.0,480.0,614.0,634.0,778.0,912.0,913.0,912.0,1068.0,1229.0,1304.0,1376.0,1376.0,1503.0,1559.0,1603.0,1659.0,1695.0,1745.0,1802.0,1835.0,1867.0
53063,WA,59408.0,5329192754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,5.0,9.0,11.0,16.0,20.0,29.0,33.0,67.0,83.0,108.0,108.0,136.0,136.0,158.0,182.0,194.0,209.0,219.0,222.0,222.0,239.0,246.0,251.0,251.0,274.0
53065,WA,51183.0,32322376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0
53067,WA,72400.0,4297388631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,6.0,6.0,8.0,9.0,11.0,11.0,14.0,24.0,24.0,27.0,33.0,36.0,48.0,48.0,51.0,58.0,64.0,67.0,67.0,74.0,74.0,77.0,81.0,81.0,81.0
53069,WA,55692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
