,FIPS,Median Income,Transit Scores,Test Date,New Positives,Cumulative Positives,Total Tests,Cumulative Tests
0,36001,64536.0,7100041237.0,2020-06-07,17.0,1978.0,1194.0,32194.0
1,36001,64536.0,7100041237.0,2020-06-06,8.0,1961.0,751.0,31000.0
2,36001,64536.0,7100041237.0,2020-06-05,12.0,1953.0,1164.0,30249.0
3,36001,64536.0,7100041237.0,2020-06-04,11.0,1941.0,1179.0,29085.0
4,36001,64536.0,7100041237.0,2020-06-03,10.0,1930.0,817.0,27906.0
5,36001,64536.0,7100041237.0,2020-06-02,20.0,1920.0,1170.0,27089.0
6,36001,64536.0,7100041237.0,2020-06-01,18.0,1900.0,618.0,25919.0
7,36001,64536.0,7100041237.0,2020-05-31,22.0,1882.0,537.0,25301.0
8,36001,64536.0,7100041237.0,2020-05-30,17.0,1860.0,760.0,24764.0
9,36001,64536.0,7100041237.0,2020-05-29,9.0,1843.0,521.0,24004.0
10,36001,64536.0,7100041237.0,2020-05-28,20.0,1834.0,416.0,23483.0
11,36001,64536.0,7100041237.0,2020-05-27,18.0,1814.0,666.0,23067.0
12,36001,64536.0,7100041237.0,2020-05-26,3.0,1796.0,369.0,22401.0
13,36001,64536.0,7100041237.0,2020-05-25,2.0,1793.0,328.0,22032.0
14,36001,64536.0,7100041237.0,2020-05-24,9.0,1791.0,378.0,21704.0
15,36001,64536.0,7100041237.0,2020-05-23,12.0,1782.0,438.0,21326.0
16,36001,64536.0,7100041237.0,2020-05-22,14.0,1770.0,655.0,20888.0
17,36001,64536.0,7100041237.0,2020-05-21,56.0,1756.0,920.0,20233.0
18,36001,64536.0,7100041237.0,2020-05-20,18.0,1700.0,650.0,19313.0
19,36001,64536.0,7100041237.0,2020-05-19,27.0,1682.0,697.0,18663.0
20,36001,64536.0,7100041237.0,2020-05-18,45.0,1655.0,398.0,17966.0
21,36001,64536.0,7100041237.0,2020-05-17,31.0,1610.0,342.0,17568.0
22,36001,64536.0,7100041237.0,2020-05-16,7.0,1579.0,411.0,17226.0
23,36001,64536.0,7100041237.0,2020-05-15,34.0,1572.0,482.0,16815.0
24,36001,64536.0,7100041237.0,2020-05-14,29.0,1538.0,541.0,16333.0
25,36001,64536.0,7100041237.0,2020-05-13,15.0,1509.0,546.0,15792.0
26,36001,64536.0,7100041237.0,2020-05-12,15.0,1494.0,335.0,15246.0
27,36001,64536.0,7100041237.0,2020-05-11,23.0,1479.0,341.0,14911.0
28,36001,64536.0,7100041237.0,2020-05-10,24.0,1456.0,384.0,14570.0
29,36001,64536.0,7100041237.0,2020-05-09,16.0,1432.0,455.0,14186.0
30,36001,64536.0,7100041237.0,2020-05-08,32.0,1416.0,488.0,13731.0
31,36001,64536.0,7100041237.0,2020-05-07,36.0,1384.0,385.0,13243.0
32,36001,64536.0,7100041237.0,2020-05-06,27.0,1348.0,407.0,12858.0
33,36001,64536.0,7100041237.0,2020-05-05,27.0,1321.0,367.0,12451.0
34,36001,64536.0,7100041237.0,2020-05-04,7.0,1294.0,130.0,12084.0
35,36001,64536.0,7100041237.0,2020-05-03,29.0,1287.0,391.0,11954.0
36,36001,64536.0,7100041237.0,2020-05-02,20.0,1258.0,441.0,11563.0
37,36001,64536.0,7100041237.0,2020-05-01,34.0,1238.0,434.0,11122.0
38,36001,64536.0,7100041237.0,2020-04-30,39.0,1204.0,378.0,10688.0
39,36001,64536.0,7100041237.0,2020-04-29,98.0,1165.0,439.0,10310.0
40,36001,64536.0,7100041237.0,2020-04-28,58.0,1067.0,351.0,9871.0
41,36001,64536.0,7100041237.0,2020-04-27,30.0,1009.0,197.0,9520.0
42,36001,64536.0,7100041237.0,2020-04-26,31.0,979.0,263.0,9323.0
43,36001,64536.0,7100041237.0,2020-04-25,49.0,948.0,402.0,9060.0
44,36001,64536.0,7100041237.0,2020-04-24,94.0,899.0,626.0,8658.0
45,36001,64536.0,7100041237.0,2020-04-23,47.0,805.0,319.0,8032.0
46,36001,64536.0,7100041237.0,2020-04-22,21.0,758.0,178.0,7713.0
47,36001,64536.0,7100041237.0,2020-04-21,33.0,737.0,236.0,7535.0
