,FIPS,Median_Household_Income_2018,transit_scores - population weighted averages aggregated from town/city level to county,Test Date,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
0,36001,64536.0,7100041237.0,2020-05-13,15.0,1509.0,546.0,15792.0
1,36001,64536.0,7100041237.0,2020-05-12,15.0,1494.0,335.0,15246.0
2,36001,64536.0,7100041237.0,2020-05-11,23.0,1479.0,341.0,14911.0
3,36001,64536.0,7100041237.0,2020-05-10,24.0,1456.0,384.0,14570.0
4,36001,64536.0,7100041237.0,2020-05-09,16.0,1432.0,455.0,14186.0
5,36001,64536.0,7100041237.0,2020-05-08,32.0,1416.0,488.0,13731.0
6,36001,64536.0,7100041237.0,2020-05-07,36.0,1384.0,385.0,13243.0
7,36001,64536.0,7100041237.0,2020-05-06,27.0,1348.0,407.0,12858.0
8,36001,64536.0,7100041237.0,2020-05-05,27.0,1321.0,367.0,12451.0
9,36001,64536.0,7100041237.0,2020-05-04,7.0,1294.0,130.0,12084.0
10,36001,64536.0,7100041237.0,2020-05-03,29.0,1287.0,391.0,11954.0
11,36001,64536.0,7100041237.0,2020-05-02,20.0,1258.0,441.0,11563.0
12,36001,64536.0,7100041237.0,2020-05-01,34.0,1238.0,434.0,11122.0
13,36001,64536.0,7100041237.0,2020-04-30,39.0,1204.0,378.0,10688.0
14,36001,64536.0,7100041237.0,2020-04-29,98.0,1165.0,439.0,10310.0
15,36001,64536.0,7100041237.0,2020-04-28,58.0,1067.0,351.0,9871.0
16,36001,64536.0,7100041237.0,2020-04-27,30.0,1009.0,197.0,9520.0
17,36001,64536.0,7100041237.0,2020-04-26,31.0,979.0,263.0,9323.0
18,36001,64536.0,7100041237.0,2020-04-25,49.0,948.0,402.0,9060.0
19,36001,64536.0,7100041237.0,2020-04-24,94.0,899.0,626.0,8658.0
20,36001,64536.0,7100041237.0,2020-04-23,47.0,805.0,319.0,8032.0
21,36001,64536.0,7100041237.0,2020-04-22,21.0,758.0,178.0,7713.0
22,36001,64536.0,7100041237.0,2020-04-21,33.0,737.0,236.0,7535.0
23,36001,64536.0,7100041237.0,2020-04-20,17.0,704.0,164.0,7299.0
24,36001,64536.0,7100041237.0,2020-04-19,5.0,687.0,103.0,7135.0
25,36001,64536.0,7100041237.0,2020-04-18,34.0,682.0,305.0,7032.0
26,36001,64536.0,7100041237.0,2020-04-17,29.0,648.0,291.0,6727.0
27,36001,64536.0,7100041237.0,2020-04-16,38.0,619.0,273.0,6436.0
28,36001,64536.0,7100041237.0,2020-04-15,33.0,581.0,301.0,6163.0
29,36001,64536.0,7100041237.0,2020-04-14,13.0,548.0,106.0,5862.0
30,36001,64536.0,7100041237.0,2020-04-13,36.0,535.0,216.0,5756.0
31,36001,64536.0,7100041237.0,2020-04-12,21.0,499.0,193.0,5540.0
32,36001,64536.0,7100041237.0,2020-04-11,32.0,478.0,223.0,5347.0
33,36001,64536.0,7100041237.0,2020-04-10,20.0,446.0,159.0,5124.0
34,36001,64536.0,7100041237.0,2020-04-09,47.0,426.0,332.0,4965.0
35,36001,64536.0,7100041237.0,2020-04-08,37.0,379.0,229.0,4633.0
36,36001,64536.0,7100041237.0,2020-04-07,9.0,342.0,74.0,4404.0
37,36001,64536.0,7100041237.0,2020-04-06,14.0,333.0,86.0,4330.0
38,36001,64536.0,7100041237.0,2020-04-05,14.0,319.0,89.0,4244.0
39,36001,64536.0,7100041237.0,2020-04-04,12.0,305.0,117.0,4155.0
40,36001,64536.0,7100041237.0,2020-04-03,26.0,293.0,123.0,4038.0
41,36001,64536.0,7100041237.0,2020-04-02,14.0,267.0,105.0,3915.0
42,36001,64536.0,7100041237.0,2020-04-01,13.0,253.0,106.0,3810.0
43,36001,64536.0,7100041237.0,2020-03-31,14.0,240.0,108.0,3704.0
44,36001,64536.0,7100041237.0,2020-03-30,9.0,226.0,72.0,3596.0
45,36001,64536.0,7100041237.0,2020-03-29,12.0,217.0,61.0,3524.0
46,36001,64536.0,7100041237.0,2020-03-28,10.0,205.0,73.0,3463.0
47,36001,64536.0,7100041237.0,2020-03-27,8.0,195.0,101.0,3390.0
48,36001,64536.0,7100041237.0,2020-03-26,16.0,187.0,112.0,3289.0
49,36001,64536.0,7100041237.0,2020-03-25,19.0,171.0,93.0,3177.0
50,36001,64536.0,7100041237.0,2020-03-24,6.0,152.0,198.0,3084.0
51,36001,64536.0,7100041237.0,2020-03-23,19.0,146.0,144.0,2886.0
52,36001,64536.0,7100041237.0,2020-03-22,4.0,127.0,197.0,2742.0
53,36001,64536.0,7100041237.0,2020-03-21,35.0,123.0,577.0,2545.0
54,36001,64536.0,7100041237.0,2020-03-20,27.0,88.0,499.0,1968.0
55,36001,64536.0,7100041237.0,2020-03-19,18.0,61.0,450.0,1469.0
56,36001,64536.0,7100041237.0,2020-03-18,7.0,43.0,331.0,1019.0
57,36001,64536.0,7100041237.0,2020-03-17,13.0,36.0,267.0,688.0
58,36001,64536.0,7100041237.0,2020-03-16,11.0,23.0,140.0,421.0
59,36001,64536.0,7100041237.0,2020-03-15,6.0,12.0,108.0,281.0
60,36001,64536.0,7100041237.0,2020-03-14,3.0,6.0,108.0,173.0
61,36001,64536.0,7100041237.0,2020-03-13,2.0,3.0,26.0,65.0
62,36001,64536.0,7100041237.0,2020-03-12,1.0,1.0,11.0,39.0
63,36001,64536.0,7100041237.0,2020-03-11,0.0,0.0,13.0,28.0
64,36001,64536.0,7100041237.0,2020-03-10,0.0,0.0,2.0,15.0
65,36001,64536.0,7100041237.0,2020-03-09,0.0,0.0,3.0,13.0
66,36001,64536.0,7100041237.0,2020-03-08,0.0,0.0,2.0,10.0
67,36001,64536.0,7100041237.0,2020-03-07,0.0,0.0,5.0,8.0
68,36001,64536.0,7100041237.0,2020-03-06,0.0,0.0,0.0,3.0
69,36001,64536.0,7100041237.0,2020-03-05,0.0,0.0,3.0,3.0
70,36001,64536.0,7100041237.0,2020-03-04,0.0,0.0,0.0,0.0
71,36001,64536.0,7100041237.0,2020-03-03,0.0,0.0,0.0,0.0
72,36001,64536.0,7100041237.0,2020-03-02,0.0,0.0,0.0,0.0
73,36003,46262.0,80458715.0,2020-05-13,0.0,44.0,53.0,938.0
74,36003,46262.0,80458715.0,2020-05-12,2.0,44.0,39.0,885.0
75,36003,46262.0,80458715.0,2020-05-11,4.0,42.0,41.0,846.0
76,36003,46262.0,80458715.0,2020-05-10,2.0,38.0,35.0,805.0
77,36003,46262.0,80458715.0,2020-05-09,1.0,36.0,20.0,770.0
78,36003,46262.0,80458715.0,2020-05-08,0.0,35.0,18.0,750.0
79,36003,46262.0,80458715.0,2020-05-07,0.0,35.0,33.0,732.0
80,36003,46262.0,80458715.0,2020-05-06,0.0,35.0,40.0,699.0
81,36003,46262.0,80458715.0,2020-05-05,0.0,35.0,22.0,659.0
82,36003,46262.0,80458715.0,2020-05-04,0.0,35.0,31.0,637.0
83,36003,46262.0,80458715.0,2020-05-03,0.0,35.0,14.0,606.0
84,36003,46262.0,80458715.0,2020-05-02,0.0,35.0,18.0,592.0
85,36003,46262.0,80458715.0,2020-05-01,0.0,35.0,11.0,574.0
86,36003,46262.0,80458715.0,2020-04-30,0.0,35.0,20.0,563.0
87,36003,46262.0,80458715.0,2020-04-29,0.0,35.0,18.0,543.0
88,36003,46262.0,80458715.0,2020-04-28,0.0,35.0,26.0,525.0
89,36003,46262.0,80458715.0,2020-04-27,0.0,35.0,14.0,499.0
90,36003,46262.0,80458715.0,2020-04-26,0.0,35.0,9.0,485.0
91,36003,46262.0,80458715.0,2020-04-25,0.0,35.0,12.0,476.0
92,36003,46262.0,80458715.0,2020-04-24,4.0,35.0,61.0,464.0
93,36003,46262.0,80458715.0,2020-04-23,1.0,31.0,10.0,403.0
94,36003,46262.0,80458715.0,2020-04-22,0.0,30.0,14.0,393.0
95,36003,46262.0,80458715.0,2020-04-21,0.0,30.0,10.0,379.0
96,36003,46262.0,80458715.0,2020-04-20,0.0,30.0,9.0,369.0
97,36003,46262.0,80458715.0,2020-04-19,0.0,30.0,5.0,360.0
98,36003,46262.0,80458715.0,2020-04-18,0.0,30.0,7.0,355.0
99,36003,46262.0,80458715.0,2020-04-17,1.0,30.0,15.0,348.0
100,36003,46262.0,80458715.0,2020-04-16,1.0,29.0,21.0,333.0
101,36003,46262.0,80458715.0,2020-04-15,0.0,28.0,8.0,312.0
102,36003,46262.0,80458715.0,2020-04-14,0.0,28.0,10.0,304.0
103,36003,46262.0,80458715.0,2020-04-13,2.0,28.0,14.0,294.0
104,36003,46262.0,80458715.0,2020-04-12,0.0,26.0,5.0,280.0
105,36003,46262.0,80458715.0,2020-04-11,0.0,26.0,11.0,275.0
106,36003,46262.0,80458715.0,2020-04-10,0.0,26.0,16.0,264.0
107,36003,46262.0,80458715.0,2020-04-09,4.0,26.0,21.0,248.0
108,36003,46262.0,80458715.0,2020-04-08,1.0,22.0,12.0,227.0
109,36003,46262.0,80458715.0,2020-04-07,4.0,21.0,16.0,215.0
110,36003,46262.0,80458715.0,2020-04-06,0.0,17.0,3.0,199.0
111,36003,46262.0,80458715.0,2020-04-05,1.0,17.0,8.0,196.0
112,36003,46262.0,80458715.0,2020-04-04,0.0,16.0,8.0,188.0
113,36003,46262.0,80458715.0,2020-04-03,2.0,16.0,13.0,180.0
114,36003,46262.0,80458715.0,2020-04-02,2.0,14.0,18.0,167.0
115,36003,46262.0,80458715.0,2020-04-01,3.0,12.0,14.0,149.0
116,36003,46262.0,80458715.0,2020-03-31,2.0,9.0,10.0,135.0
117,36003,46262.0,80458715.0,2020-03-30,0.0,7.0,4.0,125.0
118,36003,46262.0,80458715.0,2020-03-29,1.0,7.0,7.0,121.0
119,36003,46262.0,80458715.0,2020-03-28,4.0,6.0,12.0,114.0
120,36003,46262.0,80458715.0,2020-03-27,0.0,2.0,4.0,102.0
121,36003,46262.0,80458715.0,2020-03-26,0.0,2.0,9.0,98.0
122,36003,46262.0,80458715.0,2020-03-25,0.0,2.0,6.0,89.0
123,36003,46262.0,80458715.0,2020-03-24,0.0,2.0,5.0,83.0
124,36003,46262.0,80458715.0,2020-03-23,0.0,2.0,2.0,78.0
125,36003,46262.0,80458715.0,2020-03-22,0.0,2.0,39.0,76.0
126,36003,46262.0,80458715.0,2020-03-21,0.0,2.0,10.0,37.0
127,36003,46262.0,80458715.0,2020-03-20,0.0,2.0,10.0,27.0
128,36003,46262.0,80458715.0,2020-03-19,0.0,2.0,2.0,17.0
129,36003,46262.0,80458715.0,2020-03-18,0.0,2.0,3.0,15.0
130,36003,46262.0,80458715.0,2020-03-17,0.0,2.0,0.0,12.0
131,36003,46262.0,80458715.0,2020-03-16,0.0,2.0,1.0,12.0
132,36003,46262.0,80458715.0,2020-03-15,2.0,2.0,5.0,11.0
133,36003,46262.0,80458715.0,2020-03-14,0.0,0.0,1.0,6.0
134,36003,46262.0,80458715.0,2020-03-13,0.0,0.0,0.0,5.0
135,36003,46262.0,80458715.0,2020-03-12,0.0,0.0,1.0,5.0
136,36003,46262.0,80458715.0,2020-03-11,0.0,0.0,4.0,4.0
137,36003,46262.0,80458715.0,2020-03-10,0.0,0.0,0.0,0.0
138,36003,46262.0,80458715.0,2020-03-09,0.0,0.0,0.0,0.0
139,36003,46262.0,80458715.0,2020-03-08,0.0,0.0,0.0,0.0
140,36003,46262.0,80458715.0,2020-03-07,0.0,0.0,0.0,0.0
141,36003,46262.0,80458715.0,2020-03-06,0.0,0.0,0.0,0.0
142,36003,46262.0,80458715.0,2020-03-05,0.0,0.0,0.0,0.0
143,36003,46262.0,80458715.0,2020-03-04,0.0,0.0,0.0,0.0
144,36003,46262.0,80458715.0,2020-03-03,0.0,0.0,0.0,0.0
145,36003,46262.0,80458715.0,2020-03-02,0.0,0.0,0.0,0.0
