county,population,sdi_score,fpl_100_score,sing_parent_fam_score,black_score,dropout_score,no_car_score,rent_occup_score,crowding_score,nonemp_score,unemp_score,highneeds_score,hisp_score,foreignb_score,lingisol_score,percnt_ltfpl100,percnt_singlparntfly,percnt_black,percnt_dropout,percnt_hhnocar,percnt_rentoccup,percnt_crowding,percnt_nonemp,percnt_unemp,percnt_highneeds,percnt_hispanic,percnt_frgnborn,percnt_lingisol
1001,55221,22,34,10,78,55,15,18,48,36,36,32,13,7,20,0.12879382,0.12945895,0.18536426,0.12819736,0.044616591,0.26078641,0.024367522,0.075601377,0.071013995,0.39657015,0.026077036,0.015591894,0.01068837
1003,195121,15,37,8,57,35,4,25,8,40,40,78,24,20,20,0.1341166,0.12355796,0.094982088,0.10481675,0.029849941,0.28482944,0.010768649,0.076703869,0.069964118,0.41284126,0.044977218,0.035270423,0.010768649
1005,26932,88,97,80,98,98,75,55,38,100,100,4,25,15,14,0.26727438,0.21587721,0.46706522,0.26696086,0.093363695,0.36412925,0.020060724,0.18144625,0.10627013,0.37208524,0.046079013,0.027365217,0.007265235
1007,22604,31,58,10,82,83,26,14,1,52,52,5,10,4,3,0.16795878,0.12839879,0.21403292,0.19348647,0.052938666,0.24889711,0.002276932,0.083284386,0.091424622,0.37524331,0.022208458,0.011104229,0.001565391
1009,57710,36,57,21,15,90,8,6,29,47,47,67,44,23,30,0.16720933,0.14617303,0.015317969,0.21498173,0.036990777,0.21103959,0.017246349,0.079373486,0.077786967,0.40727776,0.086293533,0.041465949,0.016381629
1011,10678,90,95,98,100,100,96,27,49,100,100,22,24,30,12,0.24618736,0.27346763,0.70706123,0.35143855,0.20119467,0.29161009,0.024436601,0.18296739,0.12456747,0.39127177,0.044296686,0.053661734,0.006244909
1013,20354,81,96,90,97,91,71,30,29,89,89,93,3,2,12,0.25364736,0.22917852,0.43843961,0.22163475,0.086395234,0.29940417,0.01725422,0.11399522,0.076071642,0.42669746,0.011791294,0.007074777,0.006578947
1015,116648,65,87,49,80,83,36,34,22,93,93,75,18,14,17,0.20532209,0.17860763,0.20320109,0.19086404,0.059020244,0.3094964,0.014749524,0.12646076,0.10227469,0.41132295,0.034934159,0.025606954,0.00874784
1017,34079,83,90,88,96,89,70,40,68,62,62,90,1,4,7,0.2158993,0.22468135,0.40282872,0.21075837,0.085587874,0.32414594,0.03459781,0.09000843,0.071813889,0.42240089,0.004460225,0.010593033,0.003771669
1019,26008,42,81,16,35,88,7,8,43,49,49,72,5,3,1,0.19229716,0.14006115,0.047523838,0.2049749,0.035644617,0.22317787,0.021812377,0.080706418,0.08027368,0.40968165,0.015033836,0.010035373,0
1021,43819,53,80,24,59,90,32,11,63,69,69,60,41,29,39,0.19148839,0.14953835,0.10203336,0.21593377,0.057338178,0.23569626,0.030301165,0.095456973,0.087039351,0.405258,0.076450855,0.053241745,0.022233171
1023,13395,68,93,51,97,96,83,2,21,99,99,91,1,1,1,0.23428269,0.17979741,0.42948863,0.23599748,0.10152467,0.18439461,0.014349775,0.14270876,0.10657307,0.42396417,0.003583427,0.001567749,0
