County Name,City Name,Town Name,Village Name,Municipality,County FIPS
Albany,Albany,,,Albany,36001
Montgomery,Amsterdam,,,Amsterdam,36057
Cayuga,Auburn,,,Auburn,36011
Genesee,Batavia,,,Batavia,36037
Dutchess,Beacon,,,Beacon,36027
Broome,Binghamton,,,Binghamton,36007
Bronx,Bronx,,,Bronx,36005
Kings,Brooklyn,,,Brooklyn,36047
Erie,Buffalo,,,Buffalo,36029
Ontario,Canandaigua,,,Canandaigua,36069
Albany,Cohoes,,,Cohoes,36001
Steuben,Corning,,,Corning,36101
Cortland,Cortland,,,Cortland,36023
Chautauqua,Dunkirk,,,Dunkirk,36013
Chemung,Elmira,,,Elmira,36015
Oswego,Fulton,,,Fulton,36075
Ontario,Geneva,,,Geneva,36069
Nassau,Glen Cove,,,Glen Cove,36059
Warren,Glens Falls,,,Glens Falls,36113
Fulton,Gloversville,,,Gloversville,36035
Steuben,Hornell,,,Hornell,36101
Columbia,Hudson,,,Hudson,36021
Tompkins,Ithaca,,,Ithaca,36109
Chautauqua,Jamestown,,,Jamestown,36013
Fulton,Johnstown,,,Johnstown,36035
Ulster,Kingston,,,Kingston,36111
Erie,Lackawanna,,,Lackawanna,36029
Herkimer,Little Falls,,,Little Falls,36043
Niagara,Lockport,,,Lockport,36063
Nassau,Long Beach,,,Long Beach,36059
New York,Manhattan,,,Manhattan,36061
Saratoga,Mechanicville,,,Mechanicville,36091
Orange,Middletown,,,Middletown,36071
Westchester,Mt Vernon,,,Mt Vernon,36119
Orange,Newburgh,,,Newburgh,36071
Westchester,New Rochelle,,,New Rochelle,36119
New York City,New York City,,,New York City,36061
Niagara,Niagara Falls,,,Niagara Falls,36063
Niagara,North Tonawanda,,,North Tonawanda,36063
Chenango,Norwich,,,Norwich,36017
St Lawrence,Ogdensburg,,,Ogdensburg,36099
Cattaraugus,Olean,,,Olean,36009
Madison,Oneida,,,Oneida,36053
Otsego,Oneonta,,,Oneonta,36077
Oswego,Oswego,,,Oswego,36075
Westchester,Peekskill,,,Peekskill,36119
Clinton,Plattsburgh,,,Plattsburgh,36019
Orange,Port Jervis,,,Port Jervis,36071
Dutchess,Poughkeepsie,,,Poughkeepsie,36027
Queens,Queens,,,Queens,36081
Rensselaer,Rensselaer,,,Rensselaer,36083
Monroe,Rochester,,,Rochester,36055
Oneida,Rome,,,Rome,36065
Westchester,Rye,,,Rye,36119
Cattaraugus,Salamanca,,,Salamanca,36009
Saratoga,Saratoga Springs,,,Saratoga Springs,36091
Schenectady,Schenectady,,,Schenectady,36093
Oneida,Sherrill,,,Sherrill,36065
Richmond,Staten Island,,,Staten Island,36085
Onondaga,Syracuse,,,Syracuse,36067
Erie,Tonawanda,,,Tonawanda,36029
Rensselaer,Troy,,,Troy,36083
Oneida,Utica,,,Utica,36065
Jefferson,Watertown,,,Watertown,36045
Albany,Watervliet,,,Watervliet,36001
Westchester,White Plains,,,White Plains,36119
Westchester,Yonkers,,,Yonkers,36119
Albany,,Berne,,Berne,36001
Albany,,Bethlehem,,Bethlehem,36001
Albany,,Coeymans,Ravena,Ravena,36001
Albany,,Coeymans,,Coeymans,36001
Albany,,Colonie,Colonie,Colonie,36001
Albany,,Colonie,Menands,Menands,36001
Albany,,Colonie,,Colonie,36001
Albany,,Green Island,Green Island,Green Island,36001
Albany,,Green Island,,Green Island,36001
Albany,,Guilderland,Altamont,Altamont,36001
Albany,,Knox,,Knox,36001
Albany,,New Scotland,Voorheesville,Voorheesville,36001
Albany,,New Scotland,,New Scotland,36001
Albany,,Rensselaerville,,Rensselaerville,36001
Albany,,Westerlo,,Westerlo,36001
Albany,,,,,36001
Allegany,,Alfred,Alfred,Alfred,36003
Allegany,,Alfred,,Alfred,36003
Allegany,,Allen,,Allen,36003
Allegany,,Alma,,Alma,36003
Allegany,,Almond,Almond,Almond,36003
Allegany,,Almond,,Almond,36003
Allegany,,Amity,Belmont,Belmont,36003
Allegany,,Amity,,Amity,36003
Allegany,,Andover,Andover,Andover,36003
Allegany,,Andover,,Andover,36003
Allegany,,Angelica,Angelica,Angelica,36003
Allegany,,Angelica,,Angelica,36003
Allegany,,Belfast,,Belfast,36003
Allegany,,Birdsall,,Birdsall,36003
Allegany,,Bolivar,Bolivar,Bolivar,36003
Allegany,,Bolivar,Richburg,Richburg,36003
Allegany,,Bolivar,,Bolivar,36003
Allegany,,Burns,Canaseraga,Canaseraga,36003
Allegany,,Burns,,Burns,36003
Allegany,,Caneadea,,Caneadea,36003
Allegany,,Centerville,,Centerville,36003
Allegany,,Clarksville,,Clarksville,36003
Allegany,,Cuba,Cuba,Cuba,36003
Allegany,,Cuba,,Cuba,36003
Allegany,,Friendship,,Friendship,36003
Allegany,,Genesee,,Genesee,36003
Allegany,,Granger,,Granger,36003
Allegany,,Grove,,Grove,36003
Allegany,,Hume,,Hume,36003
Allegany,,Independence,,Independence,36003
Allegany,,New Hudson,,New Hudson,36003
Allegany,,Rushford,,Rushford,36003
Allegany,,Scio,,Scio,36003
Allegany,,Ward,,Ward,36003
Allegany,,Wellsville,Wellsville,Wellsville,36003
Allegany,,Wellsville,,Wellsville,36003
Allegany,,West Almond,,West Almond,36003
Allegany,,Willing,,Willing,36003
Allegany,,Wirt,,Wirt,36003
Allegany,,,,,36003
Broome,,Barker,,Barker,36007
Broome,,Binghamton,,Binghamton,36007
Broome,,Chenango,,Chenango,36007
Broome,,Colesville,,Colesville,36007
Broome,,Conklin,,Conklin,36007
Broome,,Dickinson,Port Dickinson,Port Dickinson,36007
Broome,,Dickinson,,Dickinson,36007
Broome,,Fenton,,Fenton,36007
Broome,,Kirkwood,,Kirkwood,36007
Broome,,Lisle,Lisle,Lisle,36007
Broome,,Lisle,,Lisle,36007
Broome,,Maine,,Maine,36007
Broome,,Nanticoke,,Nanticoke,36007
Broome,,Sanford,Deposit,Deposit,36007
Broome,,Sanford,,Sanford,36007
Broome,,Triangle,Whitney Point,Whitney Point,36007
Broome,,Triangle,,Triangle,36007
Broome,,Union,Endicott,Endicott,36007
Broome,,Union,Johnson City,Johnson City,36007
Broome,,Union,,Union,36007
Broome,,Vestal,,Vestal,36007
Broome,,Windsor,Windsor,Windsor,36007
Broome,,Windsor,,Windsor,36007
Broome,,,,,36007
Cattaraugus,,Allegany,Allegany,Allegany,36009
Cattaraugus,,Allegany,,Allegany,36009
Cattaraugus,,Ashford,,Ashford,36009
Cattaraugus,,Carrollton,,Carrollton,36009
Cattaraugus,,Coldspring,,Coldspring,36009
Cattaraugus,,Conewango,,Conewango,36009
Cattaraugus,,Dayton,South Dayton,South Dayton,36009
Cattaraugus,,Dayton,,Dayton,36009
Cattaraugus,,East Otto,,East Otto,36009
Cattaraugus,,Ellicottville,Ellicottville,Ellicottville,36009
Cattaraugus,,Ellicottville,,Ellicottville,36009
Cattaraugus,,Farmersville,,Farmersville,36009
Cattaraugus,,Franklinville,Franklinville,Franklinville,36009
Cattaraugus,,Franklinville,,Franklinville,36009
Cattaraugus,,Freedom,,Freedom,36009
Cattaraugus,,Great Valley,,Great Valley,36009
Cattaraugus,,Hinsdale,,Hinsdale,36009
Cattaraugus,,Humphrey,,Humphrey,36009
Cattaraugus,,Ischua,,Ischua,36009
Cattaraugus,,Leon,,Leon,36009
Cattaraugus,,Little Valley,Little Valley,Little Valley,36009
Cattaraugus,,Little Valley,,Little Valley,36009
Cattaraugus,,Lyndon,,Lyndon,36009
Cattaraugus,,Machias,,Machias,36009
Cattaraugus,,Mansfield,,Mansfield,36009
Cattaraugus,,Napoli,,Napoli,36009
Cattaraugus,,New Albion,Cattaraugus,Cattaraugus,36009
Cattaraugus,,New Albion,,New Albion,36009
Cattaraugus,,Olean,,Olean,36009
Cattaraugus,,Otto,,Otto,36009
Cattaraugus,,Perrysburg,,Perrysburg,36009
Cattaraugus,,Persia,Gowanda,Gowanda,36009
Cattaraugus,,Persia,,Persia,36009
Cattaraugus,,Portville,Portville,Portville,36009
Cattaraugus,,Portville,,Portville,36009
Cattaraugus,,Randolph,,Randolph,36009
Cattaraugus,,Red House,,Red House,36009
Cattaraugus,,Salamanca,,Salamanca,36009
Cattaraugus,,South Valley,,South Valley,36009
Cattaraugus,,Yorkshire,Delevan,Delevan,36009
Cattaraugus,,Yorkshire,,Yorkshire,36009
Cattaraugus,,,,,36009
Cayuga,,Aurelius,Cayuga,Cayuga,36011
Cayuga,,Aurelius,,Aurelius,36011
Cayuga,,Brutus,Weedsport,Weedsport,36011
Cayuga,,Brutus,,Brutus,36011
Cayuga,,Cato,Cato,Cato,36011
Cayuga,,Cato,Meridian,Meridian,36011
Cayuga,,Cato,,Cato,36011
Cayuga,,Conquest,,Conquest,36011
Cayuga,,Fleming,,Fleming,36011
Cayuga,,Genoa,,Genoa,36011
Cayuga,,Ira,,Ira,36011
Cayuga,,Ledyard,Aurora,Aurora,36011
Cayuga,,Ledyard,,Ledyard,36011
Cayuga,,Locke,,Locke,36011
Cayuga,,Mentz,Port Byron,Port Byron,36011
Cayuga,,Mentz,,Mentz,36011
Cayuga,,Montezuma,,Montezuma,36011
Cayuga,,Moravia,Moravia,Moravia,36011
Cayuga,,Moravia,,Moravia,36011
